SampleID,Prevotella,Achromobacter,Acidovorax,Acinetobacter,Aeromonas,Alishewanella,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Arthrobacter,Azospirillum,Bacillus,Bacteroides,Blastomonas,Blautia,Brachybacterium,Bradyrhizobium,Brevundimonas,Candidatus Nitrososphaera,Cellvibrio,Cloacibacterium,Clostridium,Comamonas,Coprococcus,Corynebacterium,Cytophaga,DA101,Dietzia,Elizabethkingia,Enhydrobacter,Enterobacter,Enterococcus,Erysipelothrix,Flavobacterium,Fusobacterium,Gardnerella,Georgenia,Halomonas,Herbaspirillum,Janthinobacterium,Kocuria,Lactobacillus,Massilia,Mesorhizobium,Microbacterium,Micrococcus,Mycobacterium,Novosphingobium,Odoribacter,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pedobacter,Phenylobacterium,Porphyromonas,Prevotella,Cutibacterium,Pseudochrobactrum,Pseudomonas,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sediminibacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Xanthomonas
LKMB005_012,0,0,0,0.032254526,0,0,0,0,0,0,0,0,0.126494789,0,0,0,0,0,0,0,0,0,0.009434997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03763028,0,0,0,0,0.007131103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730663741,0,0,0,0,0,0,0.023916621,0,0,0.032473944,0,0
LKMB005_013,0,0,0,0.034936104,0,0,0,0,0,0,0,0,0.125769973,0.004045233,0.002850051,0,0,0,0,0,0,0,0,0,0,0.011767951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001654868,0,0.802886825,0,0,0,0.007354969,0,0,0.002022617,0.001838742,0,0.004504919,0,0
LKMB005_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9959986,0,0,0,0.003751313,0,0,0,0,0,0,0,0,0,0,0,0
LKMB005_015,0,0.001439331,0,0.012485356,0,0,0,0,0.003380753,0,0,0,0.061958159,0,0,0,0,0,0,0,0,0,0,0,0,0.01683682,0,0,0,0,0,0,0,0.001405858,0,0,0,0,0,0,0,0,0,0.00465272,0,0,0.006761506,0,0,0,0,0,0,0.00190795,0,0,0,0,0,0,0.82865272,0,0,0,0,0,0,0.051213389,0,0,0.005523013,0,0.001506276
LKMB005_016,0,0,0,0.025083538,0,0,0,0,0,0,0.004678102,0,0.058364892,0,0,0,0,0,0,0,0,0,0,0.003787035,0,0.011182892,0,0,0,0,0,0.002316774,0,0,0,0,0,0,0,0,0.007351303,0,0,0,0,0,0,0,0,0,0.006549343,0.008064157,0,0,0,0.001960348,0,0,0.001381154,0,0.836400089,0,0,0,0.007484963,0,0,0.007529517,0.006326576,0,0.011539318,0,0
LKMB005_017,0,0,0,0.001088883,0,0,0,0,0,0,0,0,0.001238337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024232978,0,0,0,0,0,0,0,0,0.971646348,0,0,0
LKMB005_018,0,0,0,0.006403842,0,0,0,0,0,0,0,0,0.078713895,0,0,0,0,0,0,0,0.005603362,0,0,0,0,0,0,0,0,0,0,0.004536055,0.004069108,0.005803482,0,0,0,0,0.005203122,0,0,0,0.001600961,0,0,0,0.003402041,0,0.003068508,0,0,0,0,0,0,0,0,0,0.004002401,0,0.725235141,0,0,0,0,0,0,0.112667601,0.019478354,0,0.016743379,0,0.003468748
LKMB005_019,0,0,0,0.002150421,0,0,0,0,0,0,0,0,0.002830933,0.001388246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001252144,0,0,0,0,0,0,0.001088821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04665596,0,0,0,0,0,0,0,0,0.941557558,0,0,0
LKMB005_020,0,0,0,0,0,0,0,0,0,0,0,0,0.002861516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044719505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003593532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057208136,0,0,0,0,0,0,0.004702646,0,0.884075331,0,0,0
LKMB005_035,0,0,0,0.022565789,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012631579,0,0.066315789,0,0,0,0,0,0,0,0.007434211,0,0,0,0,0.002105263,0.001578947,0,0,0,0,0,0.691842105,0,0,0,0.017434211,0,0,0,0.008947368,0.073552632,0,0,0
