"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","InfectStage","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"3925","dc24a3607176ef6da2dc7d02bc8070fa","LKMB005_014",0.995998599509828,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R2_001.fastq.gz","07-21--MP4-3","LKMB005_014","Pilot","E2","21-Jul","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1",1,0,"None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"2456","8632dac767a978f390c0739543c2a1a6","LKMB005_017",0.971646347972757,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R2_001.fastq.gz","07-21--MP5-3","LKMB005_017","Pilot","E2","21-Jul","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","Cancer","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2470","8632dac767a978f390c0739543c2a1a6","LKMB005_019",0.94155755777554,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R2_001.fastq.gz","07-21--MP6-1","LKMB005_019","Pilot","E2","21-Jul","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp1","Timepoint 1",1,0,"None","Tp1_Cage6","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2465","8632dac767a978f390c0739543c2a1a6","LKMB005_020",0.884075331070739,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_020_S20_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_020_S20_R2_001.fastq.gz","07-21--MP6-2","LKMB005_020","Pilot","E2","21-Jul","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp1","Timepoint 1",1,0,"None","Tp1_Cage6","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1643","492c9d99645d6866290affabd62e6c23","LKMB005_016",0.836400089106705,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_016_S16_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_016_S16_R2_001.fastq.gz","07-21--MP5-2","LKMB005_016","Pilot","E2","21-Jul","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","No Tissue","Unknown","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1648","492c9d99645d6866290affabd62e6c23","LKMB005_015",0.828652719665272,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R2_001.fastq.gz","07-21--MP5-1","LKMB005_015","Pilot","E2","21-Jul","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1628","492c9d99645d6866290affabd62e6c23","LKMB005_013",0.802886825411419,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R2_001.fastq.gz","07-21--MP4-2","LKMB005_013","Pilot","E2","21-Jul","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1",1,0,"None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3527","c3c6b35a7e7fd0a56aab3c29bd47737b","LKMB005_162",0.767518876672407,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_162_S164_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_162_S164_R2_001.fastq.gz","10-13--MP4-3","LKMB005_162","Pilot","E2","13-Oct","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp7","Timepoint 7",7,12,"None","Tp7_Cage4","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","3.04E+04","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"1641","492c9d99645d6866290affabd62e6c23","LKMB005_139",0.756347609466322,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_139_S141_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_139_S141_R2_001.fastq.gz","09-29--MP6-2","LKMB005_139","Pilot","E2","29-Sep","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp6","Timepoint 6",6,10,"None","Tp6_Cage6","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","7.99E+03","Low","CIN 3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1622","492c9d99645d6866290affabd62e6c23","LKMB005_138",0.739439962031324,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_138_S140_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_138_S140_R2_001.fastq.gz","09-29--MP6-1","LKMB005_138","Pilot","E2","29-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp6","Timepoint 6",6,10,"None","Tp6_Cage6","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","5.29E+03","Low","CIN 3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
