SampleID,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Agrobacterium,Akkermansia,Alishewanella,Alistipes,Alloiococcus,Anaerobacillus,Anaerococcus,Anaerovibrio,Anoxybacillus,Arthrobacter,Asticcacaulis,Bacillus,Bacteroides,Bifidobacterium,Bilophila,Blautia,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Bulleidia,Burkholderia,Butyricicoccus,Campylobacter,Candidatus Nitrososphaera,Carnobacterium,Caulobacter,Cellvibrio,Cloacibacterium,Clostridium,Collinsella,Coprococcus,Corynebacterium,Cytophaga,DA101,Dehalobacterium,Deinococcus,Desulfovibrio,Devosia,Dialister,Dietzia,Dorea,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Gemmata,Gemmiger,Granulicatella,Haemophilus,Halomonas,Hymenobacter,Janthinobacterium,Jeotgalicoccus,Kaistobacter,Kocuria,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Massilia,Megasphaera,Methanobrevibacter,Microbacterium,Micrococcus,Moraxella,Mucispirillum,Mycobacterium,N09,Neisseria,Nesterenkonia,Nocardioides,Novosphingobium,Odoribacter,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pedobacter,Peptoniphilus,Phenylobacterium,Planctomyces,Porphyromonas,Prevotella,Pseudomonas,Pseudonocardia,Psychrobacter,Rhodococcus,Rhodoplanes,Roseburia,Roseomonas,Rothia,Rubrobacter,Ruminococcus,Saccharopolyspora,Salinicoccus,Sediminibacterium,Sphingobacterium,Sphingobium,Sphingopyxis,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinivibrio,Sutterella,Turicibacter,Veillonella,Cutibacterium,Eubacterium
LK16S004-012,0,0.006918386,0,0,0.022514071,0,0,0,0,0.001172608,0,0,0,0,0,0,0,0,0.032246717,0,0.003283302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001876173,0,0.009849906,0,0,0,0.002579737,0,0,0,0,0,0.001055347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527204503,0,0,0,0,0,0,0,0.023569418,0,0,0,0,0,0,0,0,0.025445591,0.041979362,0,0.006566604,0,0,0,0,0,0,0.1755394,0.003283302,0,0,0,0,0,0,0,0,0.016651032,0,0,0,0,0,0,0.061444653,0.001055347,0,0.02685272,0,0,0,0,0.00304878,0
LK16S004-013,0,0.008438819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001110371,0,0,0,0,0,0,0,0,0,0,0,0,0.001332445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952254053,0.001554519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003109038,0,0.008660893,0.023539862,0,0,0,0,0,0
LK16S004-014,0,0.248571429,0,0,0,0,0,0,0,0,0.045714286,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0.042857143,0,0,0,0,0,0,0,0.022857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008571429,0,0,0,0,0,0,0.06,0,0.02,0.38,0,0.022857143,0,0,0.028571429,0
LK16S004-015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99469496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107121,0,0,0.00178535,0,0,0,0,0,0
LK16S004-016,0,0.463878327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034220532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038022814,0,0,0,0,0,0,0,0,0,0.02661597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178707224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045627376,0,0,0,0,0,0,0,0.030418251,0,0.030418251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045627376,0,0.041825095,0.064638783,0,0,0,0,0,0
LK16S004-017,0.014981273,0.528089888,0,0,0,0,0,0,0,0,0,0.026217228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02247191,0,0,0,0,0.097378277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029962547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0.026217228,0.029962547,0,0,0,0,0,0,0.014981273,0,0,0,0,0,0,0,0,0.059925094,0,0.08988764,0.018726592,0,0,0,0,0.029962547,0
LK16S004-018,0,0.255608028,0,0,0,0,0,0,0,0,0,0.017709563,0,0,0,0,0,0,0,0.010625738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0,0.050767414,0,0.023022432,0.023612751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393742621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037780401,0,0.012396694,0,0,0,0,0,0,0.045454545,0.021841795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015348288,0,0,0.005903188,0,0,0.069067296,0,0.012987013,0
LK16S004-019,0,0.127407751,0,0,0,0,0.004641448,0,0,0,0,0,0,0,0,0,0,0,0.006033883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003016941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002088652,0,0,0.001856579,0,0,0,0,0,0,0,0,0,0,0,0.009514969,0,0,0,0.002088652,0,0,0,0.0134602,0,0,0,0,0,0,0,0,0.001856579,0.007194245,0,0.002552796,0,0,0,0.001160362,0,0.004409376,0.018565793,0.034578789,0,0,0,0,0,0,0,0,0.003016941,0.002320724,0,0,0,0,0,0.016245068,0.003713159,0.002088652,0.719192388,0,0,0,0.006033883,0.005337665,0
LK16S004-020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89382596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105055907,0,0,0,0,0,0,0
LK16S004-021,0,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108571429,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068571429,0.622857143,0,0,0,0,0,0
