SampleID,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Afipia,Agrobacterium,Anaerococcus,Anoxybacillus,Aquabacterium,Arthrobacter,Bacillus,Bacteroides,Bifidobacterium,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Burkholderia,Caulobacter,Cloacibacterium,Coprococcus,Corynebacterium,Deinococcus,Delftia,Enhydrobacter,Enterobacter,Enterococcus,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Herbaspirillum,Hymenobacter,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kocuria,Kytococcus,Lactobacillus,Lactococcus,Leuconostoc,Macrococcus,Massilia,Microbacterium,Micrococcus,Mucispirillum,Neisseria,Oscillospira,Paracoccus,Peptoniphilus,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodococcus,Rothia,Ruminococcus,Sediminibacterium,Sphingobacterium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Veillonella,Weissella,Cutibacterium
LK16S009-216,0.296771827,0,0,0,0,0,0,0,0,0.008804109,0,0,0,0,0,0,0,0.075568599,0,0,0,0,0.006603081,0,0,0.268158474,0,0,0,0,0,0,0,0,0,0,0,0.060528247,0.040719002,0,0,0,0,0,0,0,0.008804109,0,0,0,0,0,0.02567865,0,0.114453412,0,0,0,0,0,0,0,0.031181218,0,0.059427733,0,0,0,0.003301541
LK16S009-217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218551461,0,0,0.07750953,0,0,0,0,0,0,0,0.015247776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078780178,0,0.421855146,0,0,0.101651842,0,0,0,0,0,0,0.086404066,0,0,0,0
LK16S009-218,0.403100775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651163,0,0.011472868,0,0,0,0,0,0,0,0,0,0.025736434,0.007131783,0,0,0,0,0,0,0,0,0.097674419,0,0,0,0,0,0,0.04744186,0.00372093,0.244341085,0.003100775,0,0,0.105736434,0.045891473
LK16S009-219,0.119422572,0.082020997,0,0,0.112204724,0,0,0,0.004593176,0,0,0.229002625,0,0.036089239,0,0,0,0,0,0,0,0,0,0.067585302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213910761,0,0.049212598,0,0,0,0,0,0,0,0.022309711,0,0,0,0,0,0,0,0.050524934,0,0,0,0,0,0.01312336
LK16S009-220,0.326556544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064167726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008259212,0.038119441,0,0,0,0.140406607,0,0,0.050190597,0,0,0,0.162007624,0,0,0.157560356,0.017153748,0,0,0.035578145
LK16S009-221,0.105035971,0,0.112230216,0,0,0,0,0,0,0,0,0.025899281,0,0,0,0,0,0,0,0.067625899,0,0,0.090647482,0,0,0,0,0,0,0,0,0,0,0.073381295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525179856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-222,0.26569729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062789161,0,0,0,0,0,0,0,0.007931262,0.068076669,0,0,0,0,0,0,0,0,0,0.0720423,0,0,0,0,0,0,0,0,0,0,0,0,0.045604759,0,0,0,0,0,0,0.018506279,0.114342366,0.035029742,0,0,0,0,0,0,0,0.294778586,0.015201586,0,0,0,0
LK16S009-223,0.075931232,0,0,0,0.108166189,0.02722063,0,0,0,0,0,0,0,0,0.258595989,0,0,0,0,0.017908309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029369628,0,0,0,0.098853868,0,0,0.062320917,0,0,0,0,0,0,0,0,0,0,0,0,0.038681948,0.22277937,0,0,0,0,0,0,0.06017192,0,0,0,0,0,0,0
LK16S009-224,0.117705242,0.010880317,0,0,0,0.180019782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065281899,0,0,0,0,0,0,0.103857567,0,0,0,0,0,0,0.024727992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099901088,0,0.037586548,0,0,0,0,0.149357072,0,0,0,0,0,0,0.070227498,0,0.098911968,0.024727992,0,0,0,0.016815035
LK16S009-225,0.338141026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100961538,0.084935897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107371795,0,0,0,0,0,0,0,0.080128205,0.08974359,0,0,0,0,0,0,0.056089744,0,0,0.099358974,0,0,0,0.043269231
LK16S009-226,0.046200608,0,0,0,0,0.065349544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015805471,0,0,0.228571429,0,0,0,0,0,0,0,0,0.015197568,0,0,0.025531915,0,0,0,0,0,0,0,0,0,0.022492401,0,0,0,0,0,0,0,0,0,0.06899696,0,0,0,0,0,0,0.511854103,0,0,0,0,0,0,0
LK16S009-227,0.44051767,0,0,0,0,0.118964659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027376804,0,0,0,0,0.040816327,0,0,0,0.025385764,0,0,0.016426083,0,0,0,0,0,0,0,0,0.097063216,0.016426083,0,0,0,0.043802887,0,0,0,0.041811847,0,0,0,0,0.039820806,0.05973121,0.031856645,0,0,0
