sample-id	forward-absolute-filepath	reverse-absolute-filepath	Ex	ExName	ShortID	MouseID	Timepoint	Time	ViralCopyNumber	ViralCopyNumberRanked	ViralInfectGroup	CTL	Tp.InfectDose	Cleared.Persist.Endpoint	DiseaseCINEndpoint.Full	DiseaseCINEndpoint
LK16S009-371	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-371_S183_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-371_S183_L001_R2_001.fastq.gz	E5	Infect Dose Curve	NegEx	NegEX	NA	NA	NA	NA	NA	NA	NA	NA		
LK16S009-372	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-372_S184_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-372_S184_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-PBS	PBS 	T1	2 months Post Infection	NA	NA	NA	NA	NA	NA		
LK16S009-373	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-373_S185_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-373_S185_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-01	49.1	T1	2 months Post Infection	9.50E+00	Mock	Mock	CTL	T1_Mock 	Mock	CIN1	CIN1
LK16S009-374	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-02	49.2	T1	2 months Post Infection	4.53E+01	Mock	Mock	CTL	T1_Mock 	Mock	Normal	Normal
LK16S009-375	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-375_S187_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-03	50.1	T1	2 months Post Infection	2.89E+02	Low	10^4	CTL	T1_10^4	Cleared	Normal	Normal
LK16S009-376	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-376_S188_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-376_S188_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-04	50.2	T1	2 months Post Infection	3.12E+01	Low	10^4	CTL	T1_10^4	Cleared	CIN1	CIN1
LK16S009-377	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-377_S189_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-377_S189_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-05	50.3	T1	2 months Post Infection	9.06E+01	Low	10^4	CTL	T1_10^4	Cleared	CIN1	CIN1
LK16S009-378	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-378_S190_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-378_S190_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-06	50.4	T1	2 months Post Infection	5.25E+01	Low	10^4	CTL	T1_10^4	Cleared	Normal/CIN1	CIN1
LK16S009-379	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-379_S191_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-379_S191_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-07	50.5	T1	2 months Post Infection	5.91E+02	Low	10^4	CTL	T1_10^4	Cleared	CIN1/2	CIN2
LK16S009-380	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-380_S192_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-380_S192_L001_R2_001.fastq.gz	E5	Infect Dose Curve	E5-08	51.1	T1	2 months Post Infection	4.64E+01	Low	10^6	CTL	T1_10^6	Cleared	CIN1	CIN1
