SampleID,Acinetobacter,Actinobacillus,Adlercreutzia,Aerococcus,Afipia,Allobaculum,Anoxybacillus,Aquabacterium,Bacillus,Bacteroides,Bifidobacterium,Brevibacillus,Brevundimonas,Brochothrix,Caulobacter,Cloacibacterium,Coprococcus,Corynebacterium,Deinococcus,Enhydrobacter,Enterococcus,Gemella,Gordonia,Herbaspirillum,Jeotgalicoccus,Kocuria,Lactobacillus,Macrococcus,Microbacterium,Micrococcus,Odoribacter,Oscillospira,Porphyromonas,Prevotella,Pseudomonas,Rhodococcus,Rothia,Ruminococcus,Sediminibacterium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Veillonella,Cutibacterium
LK16S009-373,0,0.99974756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-374,0.201030928,0.31443299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0,0,0,0,0.474226804,0,0,0,0,0,0,0,0,0,0,0
LK16S009-375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660066,0,0,0,0,0,0,0.082508251,0.254125413,0,0,0,0.280528053,0,0,0.376237624,0,0,0,0
LK16S009-376,0.367713004,0,0,0,0,0,0,0,0,0.008520179,0,0,0,0,0.020179372,0,0,0.09058296,0,0,0.008520179,0,0,0,0,0,0.026008969,0,0,0.10941704,0.007623318,0.006726457,0,0.004484305,0.076233184,0,0,0.009865471,0.014798206,0.159192825,0,0.006726457,0,0,0,0.083408072
LK16S009-377,0.109067017,0.103547963,0,0,0,0,0,0,0,0.002628121,0.034165572,0,0,0,0,0.026806833,0,0.155584757,0,0,0.158738502,0,0,0,0,0,0.003679369,0,0,0,0.003153745,0.001576873,0,0,0.141918528,0.002890933,0,0,0,0.072010512,0.029697766,0.097240473,0.016557162,0,0.021287779,0.019448095
LK16S009-378,0.242205323,0.005703422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045247148,0,0.010646388,0,0.02661597,0,0,0,0,0,0,0.007224335,0,0,0,0,0,0.174144487,0,0,0,0.038022814,0,0,0.178707224,0.079467681,0,0.066159696,0.125855513
LK16S009-379,0.200916883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039665139,0,0,0,0.021925453,0,0,0.002391868,0,0.003787124,0,0,0.017141718,0.026310544,0.053019733,0.137931034,0,0.003189157,0.128762208,0,0,0.088698425,0.018536974,0.102451664,0,0.044648196,0.058401435,0,0,0.052222444
LK16S009-380,0.439695303,0,0,0,0,0,0,0,0,0,0.030046551,0,0,0,0,0,0,0.033008887,0,0,0,0,0.063478629,0,0.011426153,0,0.033008887,0,0,0,0,0,0,0,0.077020736,0,0,0,0,0.093948371,0,0.074904782,0.033432078,0,0,0.110029623
LK16S009-381,0.525046382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018552876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382189239,0,0,0,0,0,0.074211503,0,0,0,0,0
LK16S009-382,0,0.575625182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424374818,0,0,0,0,0,0,0,0,0,0,0,0,0
