"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Ex","ExName","ShortID","MouseID","Timepoint","Time","ViralCopyNumber","ViralCopyNumberRanked","ViralInfectGroup","CTL","Tp.InfectDose","Cleared.Persist.Endpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"1249","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-392",1,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-392_S204_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-392_S204_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-20","50.1","T2","5 months Post Infection",63.5,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1225","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-373",0.999747559744194,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-373_S185_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-373_S185_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-01","49.1","T1","2 months Post Infection",9.5,"Mock","Mock","CTL","T1_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1230","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-386",0.997991792543438,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-386_S198_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-386_S198_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-14","52.2","T1","2 months Post Infection",46800,"High","10^8","CTL","T1_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1252","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-403",0.997763762908616,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-403_S215_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-403_S215_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-31","52.2","T2","5 months Post Infection",174000,"High","10^8","CTL","T2_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1247","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-390",0.981519090170593,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-390_S202_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-390_S202_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-18","49.1","T2","5 months Post Infection",3790,"Low","Mock","CTL","T2_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1244","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-404",0.805862361937128,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-404_S216_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-404_S216_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-32","52.3","T2","5 months Post Infection",11000,"High","10^8","CTL","T2_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1256","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-402",0.693009118541033,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-402_S214_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-402_S214_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-30","52.1","T2","5 months Post Infection",339000,"High","10^8","CTL","T2_10^8","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1240","b53f8d5e0378d22f10d83353a5053d3a","LK16S009-382",0.57562518204136,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-10","51.3","T1","2 months Post Infection",523000,"High","10^6","CTL","T1_10^6","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"418","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-397",0.533582089552239,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-397_S209_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-397_S209_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-25","51.1","T2","5 months Post Infection",94.5,"Low","10^6","CTL","T2_10^6","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"687","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-381",0.525046382189239,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-09","51.2","T1","2 months Post Infection",26.8,"Low","10^6","CTL","T1_10^6","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"417","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-374",0.474226804123711,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-374_S186_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-02","49.2","T1","2 months Post Infection",45.3,"Mock","Mock","CTL","T1_Mock ","Mock","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"697","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-380",0.439695302581464,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-380_S192_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-380_S192_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-08","51.1","T1","2 months Post Infection",46.4,"Low","10^6","CTL","T1_10^6","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"825","5e23e6814445434cee276fa01409419b","LK16S009-382",0.42437481795864,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-382_S194_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-10","51.3","T1","2 months Post Infection",523000,"High","10^6","CTL","T1_10^6","Persistent","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"427","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-384",0.406367041198502,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-384_S196_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-12","51.5","T1","2 months Post Infection",13200,"Low","10^6","CTL","T1_10^6","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"683","51f28b14ac054ba7571df1ee8b5ed45c","LK16S009-398",0.382436260623229,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-398_S210_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-398_S210_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-26","51.2","T2","5 months Post Infection",811,"Low","10^6","CTL","T2_10^6","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"430","34662cdb0c6982e4fb679614d76a8a8f","LK16S009-381",0.382189239332096,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-381_S193_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-09","51.2","T1","2 months Post Infection",26.8,"Low","10^6","CTL","T1_10^6","Cleared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"822","5e23e6814445434cee276fa01409419b","LK16S009-396",0.381733021077283,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S009/Final_Concatenated_Sequence_Files/LK16S009-396_S208_L001_R2_001.fastq.gz","E5","Infect Dose Curve","E5-24","50.5","T2","5 months Post Infection",86.4,"Low","10^4","CTL","T2_10^4","Cleared","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
