SampleID,Acinetobacter,Actinomyces,Aerococcus,Aeromonas,Aggregatibacter,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Aquabacterium,Bacillus,Bacteroides,Bifidobacterium,Blautia,Brachybacterium,Brevundimonas,Burkholderia,Carnobacterium,Cellvibrio,Cloacibacterium,Clostridium,Corynebacterium,Cytophaga,Dialister,Enhydrobacter,Enterococcus,Faecalibacterium,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Halomonas,Janthinobacterium,Kocuria,Lactobacillus,Lactococcus,Leptotrichia,Massilia,Megasphaera,Microbacterium,Micrococcus,Moraxella,Mycobacterium,N09,Neisseria,Nocardioides,Novosphingobium,Paenibacillus,Paracoccus,Porphyromonas,Prevotella,Pseudomonas,Pseudonocardia,Sediminibacterium,Skermanella,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Thermicanus,Veillonella,WAL_1855D,Cutibacterium,Ruminococcus
LK16S004-307,0.102985075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050746269,0,0,0,0,0,0.234328358,0,0,0,0,0,0.311940299,0.258208955,0,0,0,0,0,0.041791045,0
LK16S004-308,0.239466292,0.049859551,0,0,0,0,0,0,0,0,0,0,0.083567416,0,0,0,0.139747191,0,0,0,0.056882022,0,0,0,0,0,0,0.007724719,0,0.056882022,0,0,0,0.049859551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143960674,0,0,0,0,0,0.033707865,0.058988764,0.020365169,0,0.03511236,0,0,0.023876404,0
LK16S004-309,0.485836451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045430251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040085516,0,0,0,0,0,0,0,0,0,0,0,0.055050775,0,0,0,0.047568145,0.165152325,0.017103153,0,0,0,0,0,0.012827365,0.054516301,0.021378942,0,0,0,0.055050775,0
LK16S004-310,0,0,0,0,0,0,0,0,0,0,0,0.310991957,0,0,0,0,0,0,0.032171582,0,0,0.243967828,0.050938338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075067024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09383378,0,0,0,0,0,0,0,0,0,0,0,0,0.193029491,0
LK16S004-311,0.564877576,0.006916586,0,0,0,0.004357449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020265597,0,0,0,0,0,0,0.019573938,0.002213308,0,0.01888228,0.010651542,0,0,0,0,0,0.023032231,0,0,0.014801494,0.007400747,0,0,0,0,0,0,0,0,0,0.078226587,0.01853645,0,0,0,0,0.068059206,0,0.068335869,0.017291465,0.004772444,0.016945636,0,0.034859593,0
LK16S004-312,0.271915843,0,0.016257571,0,0,0,0,0,0,0.028689831,0.025183296,0,0,0,0,0,0,0,0.010519605,0,0,0.082881734,0,0.023908193,0.102327064,0,0,0,0,0.024545744,0,0,0.033790245,0,0,0,0,0,0,0.018807778,0,0,0,0,0,0,0,0.00701307,0,0,0,0.015301243,0.073956009,0,0,0,0,0,0.025183296,0,0,0.161300606,0,0,0,0.078418872,0
LK16S004-313,0.593600764,0,0,0,0,0,0.035339064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042979943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032473734,0,0,0,0,0,0,0,0.030563515,0,0,0,0,0,0.078319007,0.05635148,0,0,0,0,0.018624642,0.046800382,0.012893983,0.019579752,0,0,0,0.032473734,0
LK16S004-314,0.303814714,0.015258856,0,0,0,0,0,0,0,0,0,0,0,0,0.016621253,0.021253406,0.01852861,0.009264305,0,0.002997275,0,0.21880109,0,0,0,0,0,0,0,0,0,0,0.032425068,0.023433243,0,0,0.002724796,0,0,0,0,0,0,0,0.035149864,0,0,0,0.017166213,0,0,0.060490463,0.074386921,0,0.034604905,0,0,0,0.007901907,0,0,0.020708447,0,0,0,0.084468665,0
LK16S004-315,0.127516779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062080537,0,0,0,0,0,0,0.053691275,0,0.124161074,0,0.011744966,0.189597315,0,0,0,0,0,0,0.129194631,0,0.293624161,0,0,0,0.008389262,0
LK16S004-316,0.38028169,0,0,0,0.063732394,0,0,0,0,0,0,0,0,0,0.135915493,0,0,0,0,0,0,0.045774648,0,0,0,0,0,0,0,0,0,0,0.012676056,0,0,0.032746479,0,0,0,0,0,0,0,0,0,0,0,0.051760563,0,0,0,0,0.162676056,0,0,0,0,0,0.004225352,0.021830986,0,0.013732394,0,0,0,0.074647887,0
LK16S004-317,0.064367816,0,0,0.001313629,0,0,0.014121511,0.014121511,0,0,0.044663383,0,0,0,0,0,0,0,0,0.018719212,0,0.145812808,0,0,0,0,0,0,0,0,0,0,0,0,0.013136289,0.034482759,0.029228243,0,0,0,0,0.047619048,0,0,0,0,0.036453202,0,0,0,0,0,0.284729064,0.003940887,0,0,0,0,0.143513957,0.02134647,0.027586207,0,0,0,0,0.054844007,0
LK16S004-318,0.436436648,0,0,0,0,0,0.004966712,0,0.003275917,0,0,0,0,0,0,0,0,0,0,0.034555638,0.016273909,0.085385184,0.005283737,0,0,0,0,0,0,0,0,0,0.024305189,0,0,0,0,0,0,0,0,0.007291557,0,0,0.00982775,0,0,0.012258269,0.016062559,0.005283737,0,0.020817922,0.133784212,0,0,0,0.006763183,0.022931417,0.061819719,0.0694283,0,0.013526366,0,0,0,0.009722075,0
LK16S004-319,0.519871916,0,0,0,0,0,0.018835939,0,0,0,0.035411565,0,0,0,0,0,0,0,0.023544924,0,0,0.04633641,0,0,0,0,0,0,0,0,0,0,0.025051799,0,0,0,0,0,0,0,0.007722735,0.020531173,0,0,0.015822189,0,0,0,0,0,0,0,0.090600866,0,0,0,0,0,0.082689772,0.016575626,0.026181955,0.012996798,0,0.008287813,0,0.049538519,0
