SampleID,Achromobacter,Acidithiobacillus,Acidovorax,Acinetobacter,Actinobacillus,Actinobaculum,Actinomyces,Actinomycetospora,Actinoplanes,Actinotalea,Aerococcus,Aeromonas,Afipia,Aggregatibacter,Agrobacterium,Agromyces,Akkermansia,Alistipes,Alkalibacterium,Alloiococcus,Anaerobacillus,Anaerococcus,Anaeroplasma,Anoxybacillus,Aquabacterium,Arthrobacter,Asticcacaulis,Atopobium,Azoarcus,Bacillus,Bacteroides,Balneimonas,Bifidobacterium,Bilophila,Blastococcus,Blautia,Brachybacterium,Brachymonas,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia,Campylobacter,Candidatus Nitrososphaera,Candidatus Rhabdochlamydia,Capnocytophaga,Carnobacterium,Catonella,Cellvibrio,Chroococcidiopsis,Cloacibacterium,Clostridium,Collinsella,Comamonas,Coprococcus,Corynebacterium,Cryocola,Cupriavidus,Cystobacter,Cytophaga,DA101,Deinococcus,Dermabacter,Dermacoccus,Dialister,Dorea,Enhydrobacter,Enterococcus,Epulopiscium,Faecalibacterium,Filifactor,Finegoldia,Flavobacterium,Flexispira,Friedmanniella,Fusobacterium,Gardnerella,Gemella,Geodermatophilus,Granulicatella,Haemophilus,Halomonas,Hydrocarboniphaga,Hydrogenophaga,Hydrogenophilus,Hymenobacter,Janthinobacterium,Jeotgalicoccus,Kaistobacter,Kocuria,Kytococcus,Laceyella,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Lysobacter,Magnetospirillum,Marmoricola,Massilia,Megasphaera,Methyloversatilis,Microbacterium,Micrococcus,Mobiluncus,Moraxella,Morganella,Moryella,Mycobacterium,Mycoplana,N09,Neisseria,Nesterenkonia,Nitrospira,Nocardioides,Novosphingobium,Ochrobactrum,Oscillospira,Paenibacillus,Paludibacter,Paracoccus,Parvimonas,Pedomicrobium,Peptoniphilus,Petrobacter,ph2,Pilimelia,Planifilum,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Propionicimonas,Proteiniclasticum,Proteus,Providencia,Pseudoclavibacter,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Psychrobacter,Quadrisphaera,Rheinheimera,Rhodobacter,Roseburia,Rothia,Rubellimicrobium,Rubricoccus,Rubrobacter,Saccharomonospora,Schlegelella,Sediminibacterium,Selenomonas,Serinicoccus,Shewanella,Skermanella,Solirubrobacter,Sphingobacterium,Sphingobium,Sphingopyxis,Spirosoma,Sporomusa,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinivibrio,Sulfobacillus,Sulfuritalea,Sutterella,Tatlockia,Tessaracoccus,Thermicanus,Treponema,Truepera,Turicibacter,Uliginosibacterium,Vagococcus,Varibaculum,Veillonella,WAL_1855D,Wautersiella,Williamsia,Xanthobacter,Ruminococcus
LK16S004-307,0,0,0,0.077702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038288288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031531532,0,0,0,0,0,0.176801802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23536036,0.19481982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092342342,0,0,0
LK16S004-308,0,0,0,0.233561644,0,0,0.048630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081506849,0,0,0,0,0,0,0,0,0.13630137,0,0,0,0,0,0,0,0,0,0.055479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007534247,0,0,0,0.055479452,0,0,0,0,0,0,0,0,0,0.048630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023287671,0,0,0,0,0,0.140410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024657534,0,0,0,0,0,0,0,0.032876712,0.057534247,0.019863014,0,0,0,0,0,0,0,0.034246575,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-309,0,0,0,0.157049067,0,0,0,0,0,0,0,0,0,0,0,0,0.050794748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014685556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012957844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171043538,0,0.017795439,0,0,0,0,0,0,0.089495508,0,0,0,0,0,0,0,0.015376641,0.017795439,0,0,0,0,0,0.053386317,0.00552868,0,0,0,0,0,0,0,0,0.023842433,0.093469247,0,0,0,0,0,0,0,0.213890809,0,0,0,0,0,0,0.00414651,0.017622668,0.00691085,0,0,0,0,0,0,0,0,0,0,0,0.034208708,0,0,0,0,0,0,0
LK16S004-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302872063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031331593,0,0,0,0,0,0,0.237597911,0,0,0,0.049608355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07310705,0,0,0,0,0,0,0,0,0,0.026109661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187989556,0,0,0,0,0,0.091383812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-311,0,0,0,0.520257358,0,0,0.006370238,0,0,0,0,0,0,0,0,0,0,0,0,0.00401325,0,0,0,0,0,0,0,0.015352274,0,0,0,0.008663524,0,0,0,0,0,0,0,0,0.014205631,0,0,0,0,0.016371512,0,0,0,0,0,0,0,0,0,0.018664798,0,0,0,0,0,0.012740476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018027774,0.002038476,0,0,0,0.01739075,0.009810167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021212893,0,0,0,0.01363231,0,0.006816155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032106001,0,0,0,0,0,0.072047395,0.017072239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062683144,0,0.062937954,0.015925596,0,0,0,0,0,0,0.004395464,0,0.011657536,0,0,0,0,0.015607084,0,0,0,0,0
LK16S004-312,0,0,0,0.271915843,0,0,0,0,0,0,0.016257571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028689831,0,0,0,0,0.025183296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010519605,0,0,0,0,0,0,0.082881734,0,0,0,0,0,0,0,0,0.023908193,0,0.102327064,0,0,0,0,0,0,0,0,0,0.024545744,0,0,0,0,0.033790245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018807778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015301243,0.078418872,0,0,0,0,0,0.073956009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025183296,0,0,0.161300606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-313,0,0,0,0.575196668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034243406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041647385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031004165,0,0.031466913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029615919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031466913,0,0,0,0,0,0.075890791,0.05460435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180472,0.045349375,0.012494216,0.018972698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-314,0,0,0,0.291427078,0,0,0.014636696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012023001,0,0,0,0,0,0,0,0,0,0.015943544,0,0,0.020386827,0,0.017773131,0,0,0,0,0.008886566,0,0,0,0.002875065,0,0,0,0,0.20987977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03110298,0,0,0,0,0.022477784,0,0,0,0,0,0,0.002613696,0,0,0,0,0.003136435,0,0,0,0,0,0,0,0,0,0,0,0.033716675,0,0,0,0,0,0,0,0.016466283,0,0,0,0,0,0,0,0,0,0,0,0.058024046,0.081024569,0,0,0,0,0,0.071353894,0,0,0,0,0,0,0,0,0,0,0.020386827,0,0,0.033193936,0,0,0,0,0,0,0,0,0,0,0.007579718,0,0,0.019864088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005227392,0,0
LK16S004-315,0,0,0,0.127516779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062080537,0,0,0,0,0,0,0,0,0,0,0,0,0.053691275,0,0,0,0,0.124161074,0,0,0,0,0,0,0,0,0,0.011744966,0.008389262,0,0,0,0,0,0.189597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129194631,0,0.293624161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-316,0,0,0,0.359400998,0,0,0,0,0,0,0,0,0,0.060232945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128452579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043261231,0,0,0,0,0.054908486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011980033,0,0,0,0,0,0,0,0,0,0,0.030948419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048918469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070549085,0,0,0,0,0,0.15374376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003993344,0.02063228,0,0.012978369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
