"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","InfectStage","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Tp.Infect","ABX.Infect","Tp.ABX.Infect","InfectionStage","InfectStagePreUM","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7655","dc24a3607176ef6da2dc7d02bc8070fa","LKMB005_014",0.995834201208082,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_014_S14_R2_001.fastq.gz","07-21--MP4-3","LKMB005_014","Pilot","E2","21-Jul","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1","1","0","None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7637","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-061",0.981259760541385,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_061_S61_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_061_S61_R2_001.fastq.gz","08-12-M08-3","LK16S004_061","Baseline","E3","8/12/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Tp2_Cage8","Tp2_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Mock","None_Mock","Tp2_None_Mock","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7632","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-063",0.978233675256442,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_063_S63_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_063_S63_R2_001.fastq.gz","08-12-M08-5","LK16S004_063","Baseline","E3","8/12/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Tp2_Cage8","Tp2_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Mock","None_Mock","Tp2_None_Mock","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7686","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-055",0.977546968076982,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R2_001.fastq.gz","08-12-M6-4","LK16S004_055","Baseline","E3","8/12/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Untouched","None_Untouched","Tp2_None_Untouched","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7656","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-057",0.975546034068346,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R2_001.fastq.gz","08-12-M7-2","LK16S004_057","Baseline","E3","8/12/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp2","Timepoint 2","2","2","None","Tp2_Cage7","Tp2_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3",NA,NA,NA,"Tp2_Infected","None_Infected","Tp2_None_Infected","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","High","Persistent","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7646","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-015",0.972389506991936,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R2_001.fastq.gz","07-28-M6-4","LK16S004_015","Baseline","E3","7/28/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"4660","8632dac767a978f390c0739543c2a1a6","LKMB005_017",0.971916111395865,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_017_S17_R2_001.fastq.gz","07-21--MP5-3","LKMB005_017","Pilot","E2","21-Jul","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1","1","0","None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Cancer","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"7642","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-092",0.971504268472181,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R2_001.fastq.gz","08-19-M08-2","LK16S004_092","Baseline","E3","8/19/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"7627","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-013",0.953312583370387,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_013_S13_R2_001.fastq.gz","07-28-M6-2","LK16S004_013","Baseline","E3","7/28/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"5872","af4da666b6f3aef671fa68d50794c39f","LKMB005_019",0.940857800482793,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_019_S19_R2_001.fastq.gz","07-21--MP6-1","LKMB005_019","Pilot","E2","21-Jul","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
